time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 18:29:11.722,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:12.218,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:12.224,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:12.721,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:12.766,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:13.255,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:13.263,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:13.716,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:13.791,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:14.202,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:14.214,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:14.697,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:14.718,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:15.221,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:15.229,24272480766329,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:15.767,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:15.795,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:16.223,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:16.230,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:16.735,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:16.768,24274983217308,495,16169,675,310260,31,-78,-10,2147483647,2147483647,2147483647
11-07 18:29:21.587,24276489368030,495,16169,675,310260,31,-67,-6,2147483647,2147483647,2147483647
11-07 18:29:21.593,24276489368030,495,16169,675,310260,31,-67,-6,2147483647,2147483647,2147483647
11-07 18:29:22.281,24276498923865,495,16169,675,310260,31,-67,-6,2147483647,2147483647,2147483647
11-07 18:29:22.285,24276498923865,495,16169,675,310260,31,-67,-6,2147483647,2147483647,2147483647
11-07 18:29:28.636,24277523236206,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:28.644,24277523236206,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:29.639,24277546876105,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:30.007,24277546876105,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:30.135,24277546876105,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:30.160,24277546876105,495,16169,675,310260,31,-76,-5,2147483647,2147483647,2147483647
11-07 18:29:34.640,24279345400450,495,16169,675,310260,27,-84,-6,2147483647,2147483647,2147483647
11-07 18:29:34.642,24279345400450,495,16169,675,310260,27,-84,-6,2147483647,2147483647,2147483647
11-07 18:29:35.927,24279370701495,495,16169,675,310260,27,-84,-6,2147483647,2147483647,2147483647
11-07 18:29:35.940,24279370701495,495,16169,675,310260,27,-84,-6,2147483647,2147483647,2147483647
11-07 18:29:40.619,24280614181046,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:40.620,24280614181046,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:41.150,24280614181046,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:41.397,24280614181046,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:45.651,24281872048254,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:45.669,24281872048254,495,16169,675,310260,23,-93,-6,2147483647,2147483647,2147483647
11-07 18:29:51.581,24282491884253,495,16169,675,310260,23,-92,-5,2147483647,2147483647,2147483647
11-07 18:29:51.584,24282491884253,495,16169,675,310260,23,-92,-5,2147483647,2147483647,2147483647
11-07 18:29:52.063,24282497137639,495,16169,675,310260,23,-92,-5,2147483647,2147483647,2147483647
11-07 18:29:52.077,24282497137639,495,16169,675,310260,23,-92,-5,2147483647,2147483647,2147483647
11-07 18:29:57.676,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:57.682,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:58.845,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:58.879,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:59.345,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:59.351,24283392971427,495,16169,675,310260,25,-87,-6,2147483647,2147483647,2147483647
11-07 18:29:59.891,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:29:59.916,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:30:00.343,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:30:00.350,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:30:00.864,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:30:00.896,24285418369910,495,16169,675,310260,23,-94,-6,2147483647,2147483647,2147483647
11-07 18:30:01.932,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
