mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
50994787882682,434,16185,2300,310260,31,-71,-9,2147483647,2147483647,2147483647
50996815662155,434,16185,2300,310260,31,-70,-12,2147483647,2147483647,2147483647
50997470517325,434,16185,2300,310260,31,-70,-12,2147483647,2147483647,2147483647
50997477806023,434,16185,2300,310260,31,-70,-12,2147483647,2147483647,2147483647
50998259790632,434,16185,2300,310260,31,-66,-9,2147483647,2147483647,2147483647
51000470406790,434,16185,2300,310260,31,-74,-16,2147483647,2147483647,2147483647
51002970872768,434,16185,2300,310260,31,-70,-14,2147483647,2147483647,2147483647
51005128414598,434,16185,2300,310260,31,-73,-15,2147483647,2147483647,2147483647
51007462129726,434,16185,2300,310260,31,-75,-17,2147483647,2147483647,2147483647
51007831447628,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
51008522486499,434,16185,2300,310260,31,-79,-16,2147483647,2147483647,2147483647
51010763648128,434,16185,2300,310260,31,-79,-15,2147483647,2147483647,2147483647
51011089220140,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
51011888070584,434,16185,2300,310260,31,-81,-16,2147483647,2147483647,2147483647
51013830055100,434,16185,2300,310260,31,-78,-16,2147483647,2147483647,2147483647
51013840458487,434,16185,2300,310260,31,-78,-16,2147483647,2147483647,2147483647
51016153673457,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
51018056459636,434,16185,2300,310260,31,-76,-18,2147483647,2147483647,2147483647
51018081792190,434,16185,2300,310260,31,-76,-18,2147483647,2147483647,2147483647
51019119019898,44,16185,2300,310260,31,-76,-14,2147483647,2147483647,2147483647
51020484133211,44,16185,2300,310260,31,-71,-13,2147483647,2147483647,2147483647
51021497914406,44,16185,2300,310260,31,-76,-15,2147483647,2147483647,2147483647
51022308690007,44,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
51024509257674,44,16185,2300,310260,31,-75,-16,2147483647,2147483647,2147483647
51027123611164,44,16185,2300,310260,31,-74,-12,2147483647,2147483647,2147483647
51029695825222,44,16185,2300,310260,31,-73,-12,2147483647,2147483647,2147483647
51030165074696,44,16185,2300,310260,31,-71,-13,2147483647,2147483647,2147483647
51030487136030,44,16185,2300,310260,31,-70,-15,2147483647,2147483647,2147483647
51032720920992,44,16185,2300,310260,31,-74,-11,2147483647,2147483647,2147483647
51033975161534,44,16185,2300,310260,31,-76,-16,2147483647,2147483647,2147483647
51034308083963,44,16185,2300,310260,31,-75,-15,2147483647,2147483647,2147483647
51035033220650,44,16185,2300,310260,31,-73,-16,2147483647,2147483647,2147483647
51036352934636,44,16185,2300,310260,31,-75,-17,2147483647,2147483647,2147483647
51036359956928,44,16185,2300,310260,31,-75,-17,2147483647,2147483647,2147483647
51038105526998,44,16185,2300,310260,31,-73,-17,2147483647,2147483647,2147483647
51038467356565,44,16185,2300,310260,31,-74,-16,2147483647,2147483647,2147483647
51039761448256,44,16185,2300,310260,31,-71,-14,2147483647,2147483647,2147483647
51040144618138,44,16185,2300,310260,31,-72,-14,2147483647,2147483647,2147483647
51041627455838,44,16185,2300,310260,31,-76,-16,2147483647,2147483647,2147483647
51043844397517,44,16185,2300,310260,31,-76,-16,2147483647,2147483647,2147483647
51045878165689,44,16185,2300,310260,31,-79,-20,2147483647,2147483647,2147483647
51048379779584,44,16185,2300,310260,31,-80,-18,2147483647,2147483647,2147483647
51050603097930,44,16185,2300,310260,31,-79,-20,2147483647,2147483647,2147483647
51051260950444,434,16185,2300,310260,31,-84,-16,2147483647,2147483647,2147483647
51051921946082,434,16185,2300,310260,31,-80,-11,2147483647,2147483647,2147483647
51053259945174,434,16185,2300,310260,31,-84,-15,2147483647,2147483647,2147483647
51053929305501,434,16185,2300,310260,31,-85,-16,2147483647,2147483647,2147483647
51055919936689,434,16185,2300,310260,30,-88,-13,2147483647,2147483647,2147483647
51056229505887,434,16185,2300,310260,31,-89,-18,2147483647,2147483647,2147483647
51058215796397,44,16185,2300,310260,31,-81,-13,2147483647,2147483647,2147483647
51058582553673,44,16185,2300,310260,31,-78,-16,2147483647,2147483647,2147483647
51060731879668,44,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
51062032392506,44,16185,2300,310260,31,-76,-16,2147483647,2147483647,2147483647
51063514677654,44,16185,2300,310260,31,-73,-12,2147483647,2147483647,2147483647
51064329896954,44,16185,2300,310260,31,-79,-16,2147483647,2147483647,2147483647
51065690282610,44,16185,2300,310260,31,-81,-15,2147483647,2147483647,2147483647
51066333186893,44,16185,2300,310260,31,-79,-13,2147483647,2147483647,2147483647
51067109517700,44,16185,2300,310260,31,-76,-13,2147483647,2147483647,2147483647
51069367204383,44,16185,2300,310260,31,-74,-16,2147483647,2147483647,2147483647
51071887680519,44,16185,2300,310260,31,-80,-15,2147483647,2147483647,2147483647
51074063320996,44,16185,2300,310260,31,-86,-14,2147483647,2147483647,2147483647
51075668833656,44,16185,2300,310260,31,-85,-13,2147483647,2147483647,2147483647
51077974287740,44,16185,2300,310260,31,-81,-16,2147483647,2147483647,2147483647
51078767270840,44,16185,2300,310260,31,-84,-14,2147483647,2147483647,2147483647
51079418958197,44,16185,2300,310260,30,-89,-15,2147483647,2147483647,2147483647
51080120513683,44,16185,2300,310260,30,-91,-17,2147483647,2147483647,2147483647
51080649441548,44,16185,2300,310260,30,-86,-12,2147483647,2147483647,2147483647
51081334656565,44,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
51081355965213,44,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
51082349877447,44,16185,2300,310260,30,-89,-14,2147483647,2147483647,2147483647
51084443241562,44,16185,2300,310260,31,-84,-15,2147483647,2147483647,2147483647
51086949951239,44,16185,2300,310260,31,-90,-17,2147483647,2147483647,2147483647
51088887360859,44,16185,2300,310260,31,-87,-16,2147483647,2147483647,2147483647
51091403638453,44,16185,2300,310260,31,-86,-16,2147483647,2147483647,2147483647
51093429694905,44,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
51093437081468,44,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
51095950471771,44,16185,2300,310260,30,-90,-15,2147483647,2147483647,2147483647
51098361396802,44,16185,2300,310260,31,-88,-16,2147483647,2147483647,2147483647
51099017071764,44,16185,2300,310260,28,-91,-13,2147483647,2147483647,2147483647
51099030803640,44,16185,2300,310260,28,-91,-13,2147483647,2147483647,2147483647
51100731034382,44,16185,2300,310260,31,-87,-16,2147483647,2147483647,2147483647
51101294791313,44,16185,2300,310260,29,-90,-13,2147483647,2147483647,2147483647
51102881185221,44,16185,2300,310260,31,-89,-16,2147483647,2147483647,2147483647
51103267218489,44,16185,2300,310260,29,-90,-13,2147483647,2147483647,2147483647
51103712285773,44,16185,2300,310260,30,-89,-15,2147483647,2147483647,2147483647
51104442977929,44,16185,2300,310260,30,-88,-14,2147483647,2147483647,2147483647
51106490694904,44,16185,2300,310260,28,-89,-12,2147483647,2147483647,2147483647
51108518600262,44,16185,2300,310260,31,-84,-11,2147483647,2147483647,2147483647
51111190861674,44,16185,2300,310260,31,-79,-15,2147483647,2147483647,2147483647
51111530099312,44,16185,2300,310260,31,-82,-15,2147483647,2147483647,2147483647
51113917626633,44,16185,2300,310260,31,-82,-16,2147483647,2147483647,2147483647
51115766647755,44,16185,2300,310260,31,-80,-16,2147483647,2147483647,2147483647
51118150498097,44,16185,2300,310260,31,-84,-14,2147483647,2147483647,2147483647
51118691639869,44,16185,2300,310260,30,-89,-15,2147483647,2147483647,2147483647
51119567971519,44,16185,2300,310260,31,-87,-16,2147483647,2147483647,2147483647
51119938843379,44,16185,2300,310260,30,-89,-15,2147483647,2147483647,2147483647
51120584827870,44,16185,2300,310260,29,-91,-14,2147483647,2147483647,2147483647
51121043950885,44,16185,2300,310260,30,-90,-16,2147483647,2147483647,2147483647
51122074805675,44,16185,2300,310260,30,-91,-16,2147483647,2147483647,2147483647
51123691770680,44,16185,2300,310260,31,-88,-17,2147483647,2147483647,2147483647
51125292774173,46,16185,675,310260,30,-92,-20,2147483647,2147483647,2147483647
51127826116665,46,16185,675,310260,30,-91,-19,2147483647,2147483647,2147483647
51128802546710,46,16185,675,310260,29,-93,-16,2147483647,2147483647,2147483647
51129495952769,46,16185,675,310260,31,-86,-15,2147483647,2147483647,2147483647
51130205797839,46,16185,675,310260,29,-89,-14,2147483647,2147483647,2147483647
51130563737458,46,16185,675,310260,29,-93,-17,2147483647,2147483647,2147483647
51131007633440,46,16185,675,310260,28,-95,-19,2147483647,2147483647,2147483647
51132338386281,46,16185,675,310260,27,-95,-16,2147483647,2147483647,2147483647
51134569047649,46,16185,675,310260,28,-98,-20,2147483647,2147483647,2147483647
51135680950885,46,16185,675,310260,27,-99,-19,2147483647,2147483647,2147483647
51137804876148,46,16185,675,310260,29,-93,-18,2147483647,2147483647,2147483647
51139391361150,46,16185,675,310260,27,-96,-17,2147483647,2147483647,2147483647
51141841647696,46,16185,675,310260,28,-96,-19,2147483647,2147483647,2147483647
51143470164838,46,16185,675,310260,27,-96,-17,2147483647,2147483647,2147483647
51144121826101,46,16185,675,310260,21,-107,-16,2147483647,2147483647,2147483647
51144513104994,46,16185,675,310260,23,-104,-16,2147483647,2147483647,2147483647
51145492083529,46,16185,675,310260,22,-106,-15,2147483647,2147483647,2147483647
