mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
38731298644289,109,16185,675,310260,26,-92,-11,2147483647,2147483647,2147483647
38732009240454,109,16185,675,310260,25,-96,-13,2147483647,2147483647,2147483647
38733495314873,109,16185,675,310260,26,-94,-14,2147483647,2147483647,2147483647
38734602623316,117,16185,675,310260,31,-80,-10,2147483647,2147483647,2147483647
38735818990365,191,16185,675,310260,28,-87,-8,2147483647,2147483647,2147483647
38736997935743,191,16185,675,310260,24,-100,-14,2147483647,2147483647,2147483647
38737964965422,331,16185,675,310260,28,-95,-16,2147483647,2147483647,2147483647
38741154599230,331,16185,675,310260,27,-88,-9,2147483647,2147483647,2147483647
38742300471896,331,16185,675,310260,29,-91,-15,2147483647,2147483647,2147483647
38743506746964,331,16185,675,310260,25,-99,-16,2147483647,2147483647,2147483647
38743863747052,340,16185,2300,310260,26,-90,-9,2147483647,2147483647,2147483647
38745541856333,340,16185,2300,310260,31,-77,-8,2147483647,2147483647,2147483647
38746579049093,341,16185,2300,310260,31,-82,-8,2147483647,2147483647,2147483647
38747556516586,341,16185,2300,310260,31,-81,-12,2147483647,2147483647,2147483647
38748277705616,341,16185,2300,310260,31,-81,-9,2147483647,2147483647,2147483647
38750568560480,341,16185,2300,310260,31,-80,-8,2147483647,2147483647,2147483647
38752781731430,341,16185,2300,310260,30,-81,-8,2147483647,2147483647,2147483647
38755775100790,341,16185,2300,310260,31,-69,-7,2147483647,2147483647,2147483647
38756434168148,341,16185,2300,310260,31,-66,-6,2147483647,2147483647,2147483647
38757940994860,341,16185,2300,310260,27,-88,-8,2147483647,2147483647,2147483647
38758297337864,341,16185,2300,310260,21,-104,-12,2147483647,2147483647,2147483647
38760100291482,341,16185,2300,310260,19,-110,-14,2147483647,2147483647,2147483647
38760435292609,341,16185,2300,310260,16,-113,-11,2147483647,2147483647,2147483647
38762498024168,341,16185,2300,310260,16,-114,-13,2147483647,2147483647,2147483647
38763417821187,341,16185,2300,310260,15,-121,-17,2147483647,2147483647,2147483647
38765496380977,60,16266,2300,310260,14,-119,-14,2147483647,2147483647,2147483647
38766502216130,60,16266,675,310260,14,-121,-15,2147483647,2147483647,2147483647
38767507936334,401,16266,2300,310260,16,-122,-20,2147483647,2147483647,2147483647
38769128524100,60,16266,675,310260,16,-113,-11,2147483647,2147483647,2147483647
38770616765238,401,16266,2300,310260,17,-111,-10,2147483647,2147483647,2147483647
38771769444363,401,16266,675,310260,21,-103,-13,2147483647,2147483647,2147483647
38772465307713,401,16266,675,310260,19,-103,-9,2147483647,2147483647,2147483647
38775065092816,401,16266,675,310260,18,-109,-13,2147483647,2147483647,2147483647
38775395693943,401,16266,675,310260,18,-107,-10,2147483647,2147483647,2147483647
38778059121552,401,16266,675,310260,17,-113,-12,2147483647,2147483647,2147483647
38778948758411,401,16266,675,310260,13,-117,-11,2147483647,2147483647,2147483647
